network_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
23,583.58,554.56,515.08,537.29,550.42,508.93,580.05,526.5,545.37,261.94,494.08,426.21,108.55,465.21,643.76,513.06,157.34,508.53,261.87,323.56,460.79,99.13,133.87,0,483.07,526.27,547.44,454.53,500.86,427.41,124.88,379.55,468.9,485.46,496.42,397.43,482.77,612.5,370.2,392.98,380.44,313.48,363.81,334.52,505.75,422.25,246.84,406.61,561.65,355.08,450.42,289.17,573.97,450.72,234.2,208.57,473.39,239.12,599.69,286.62,467.63
24,374.71,345.69,306.21,328.42,341.55,300.06,371.18,317.63,336.5,600.39,285.21,217.34,534.18,256.34,434.89,304.19,340.37,299.66,600.32,662.01,34.46,437.58,375.6,483.07,0,317.4,338.57,52.68,291.99,70.7,378.61,116.32,260.03,276.59,287.55,188.56,273.9,403.63,120.51,100.99,115.53,195.69,131.46,154.95,91.9,83.34,248.07,197.74,352.78,146.21,241.55,203.34,365.1,241.85,659.83,290.08,264.52,577.57,390.82,224.33,53.78
25,319.87,290.85,251.37,143.3,113.71,114.94,186.06,132.51,231.06,643.59,230.37,111.9,577.38,201.5,207.05,76.35,383.57,22.7,643.52,705.21,295.12,480.78,418.8,526.27,317.4,0,27.09,288.86,28.39,261.74,421.81,213.88,64.73,171.15,102.43,145.74,46.06,175.79,204.53,227.31,214.77,238.89,198.14,198.15,340.08,256.58,291.27,138.1,297.94,177.41,186.71,246.54,137.26,84.87,703.03,333.28,126.38,620.77,335.98,267.53,301.96
26,341.04,312.02,272.54,164.47,134.88,136.11,207.23,153.68,252.23,664.76,251.54,133.07,598.55,222.67,228.22,97.52,404.74,43.87,664.69,726.38,316.29,501.95,439.97,547.44,338.57,27.09,0,310.03,49.56,282.91,442.98,235.05,85.9,192.32,123.6,166.91,67.23,196.96,225.7,248.48,235.94,260.06,219.31,219.32,361.25,277.75,312.44,159.27,319.11,198.58,207.88,267.71,158.43,106.04,724.2,354.45,147.55,641.94,357.15,288.7,323.13
27,346.17,317.15,277.67,299.88,313.01,271.52,342.64,289.09,307.96,571.85,256.67,188.8,505.64,227.8,406.35,275.65,311.83,271.12,571.78,633.47,30.4,409.04,347.06,454.53,52.68,288.86,310.03,0,263.45,42.16,350.07,87.78,231.49,248.05,259.01,160.02,245.36,375.09,91.97,72.45,86.99,167.15,102.92,126.41,75.36,54.8,219.53,169.2,324.24,117.67,213.01,174.8,336.56,213.31,631.29,261.54,235.98,549.03,362.28,195.79,37.24
28,294.46,265.44,225.96,117.89,88.3,89.53,160.65,107.1,205.65,618.18,204.96,86.49,551.97,176.09,181.64,50.94,358.16,10.65,618.11,679.8,269.71,455.37,393.39,500.86,291.99,28.39,49.56,263.45,0,236.33,396.4,188.47,39.32,145.74,77.02,120.33,20.65,150.38,179.12,201.9,189.36,213.48,172.73,172.74,314.67,231.17,265.86,112.69,272.53,152,161.3,221.13,111.85,59.46,677.62,307.87,100.97,595.36,310.57,242.12,276.55
29,319.05,290.03,250.55,272.76,285.89,244.4,315.52,261.97,280.84,544.73,229.55,161.68,478.52,200.68,379.23,248.53,284.71,244,544.66,606.35,48.42,381.92,319.94,427.41,70.7,261.74,282.91,42.16,236.33,0,322.95,60.66,204.37,220.93,231.89,132.9,218.24,347.97,64.85,45.33,59.87,140.03,75.8,99.29,93.38,27.68,192.41,142.08,297.12,90.55,185.89,147.68,309.44,186.19,604.17,234.42,208.86,521.91,335.16,168.67,55.26
30,479.12,450.1,410.62,432.83,445.96,404.47,475.59,422.04,440.91,242.2,389.62,321.75,175.99,360.75,539.3,408.6,52.88,404.07,242.13,303.82,356.33,79.39,29.41,124.88,378.61,421.81,442.98,350.07,396.4,322.95,0,275.09,364.44,381,391.96,292.97,378.31,508.04,265.74,288.52,275.98,209.02,259.35,230.06,401.29,317.79,142.38,302.15,457.19,250.62,345.96,184.71,469.51,346.26,301.64,104.11,368.93,219.38,495.23,182.16,363.17
31,271.19,242.17,202.69,224.9,238.03,196.54,267.66,214.11,232.98,496.87,181.69,113.82,430.66,152.82,331.37,200.67,236.85,196.14,496.8,558.49,94.04,334.06,272.08,379.55,116.32,213.88,235.05,87.78,188.47,60.66,275.09,0,156.51,173.07,184.03,85.04,170.38,300.11,16.99,26.23,13.69,92.17,27.94,51.43,139,55.5,144.55,94.22,249.26,42.69,138.03,99.82,261.58,138.33,556.31,186.56,161,474.05,287.3,120.81,100.88
32,262.5,233.48,194,85.93,88.88,57.57,128.69,75.14,173.69,586.22,173,54.53,520.01,144.13,182.22,51.52,326.2,46.99,586.15,647.84,237.75,423.41,361.43,468.9,260.03,64.73,85.9,231.49,39.32,204.37,364.44,156.51,0,113.78,45.06,88.37,21.23,150.96,147.16,169.94,157.4,181.52,140.77,140.78,282.71,199.21,233.9,80.73,240.57,120.04,129.34,189.17,112.43,27.5,645.66,275.91,69.01,563.4,278.61,210.16,244.59
33,279.06,250.04,210.56,182.17,195.3,153.81,224.93,171.38,96.69,602.78,189.56,71.09,536.57,160.69,288.64,157.94,342.76,153.41,602.71,664.4,254.31,439.97,377.99,485.46,276.59,171.15,192.32,248.05,145.74,220.93,381,173.07,113.78,0,141.3,104.93,127.65,257.38,163.72,186.5,173.96,198.08,157.33,157.34,299.27,215.77,250.46,97.29,257.13,136.6,145.9,205.73,218.85,95.6,662.22,292.47,118.27,579.96,295.17,226.72,261.15
34,290.02,261,221.52,49.45,126.58,21.09,92.21,38.66,201.21,613.74,200.52,82.05,547.53,171.65,219.92,89.22,353.72,84.69,613.67,675.36,265.27,450.93,388.95,496.42,287.55,102.43,123.6,259.01,77.02,231.89,391.96,184.03,45.06,141.3,0,115.89,58.93,188.66,174.68,197.46,184.92,209.04,168.29,168.3,310.23,226.73,261.42,108.25,268.09,147.56,156.86,216.69,150.13,55.02,673.18,303.43,96.53,590.92,306.13,237.68,272.11
35,203.05,174.03,134.55,156.76,169.89,128.4,199.52,145.97,164.84,514.75,113.55,45.68,448.54,84.68,263.23,132.53,254.73,128,514.68,576.37,166.28,351.94,289.96,397.43,188.56,145.74,166.91,160.02,120.33,132.9,292.97,85.04,88.37,104.93,115.89,0,102.24,231.97,75.69,98.47,85.93,110.05,69.3,69.31,211.24,127.74,162.43,26.08,181.12,48.57,69.89,117.7,193.44,70.19,574.19,204.44,92.86,491.93,219.16,138.69,173.12
36,276.37,247.35,207.87,99.8,70.21,71.44,142.56,89.01,187.56,600.09,186.87,68.4,533.88,158,163.55,32.85,340.07,28.32,600.02,661.71,251.62,437.28,375.3,482.77,273.9,46.06,67.23,245.36,20.65,218.24,378.31,170.38,21.23,127.65,58.93,102.24,0,132.29,161.03,183.81,171.27,195.39,154.64,154.65,296.58,213.08,247.77,94.6,254.44,133.91,143.21,203.04,93.76,41.37,659.53,289.78,82.88,577.27,292.48,224.03,258.46
